"","id","book","book_num","chapter","chapter_num","character","full_text","character_lines","writer","director","imdb_rating"
"234",234,"Water",1,"The Avatar Returns",2,"Katara","[Irritably, clenching her fists.] Sokka, you're making a mistake.","Sokka, you're making a mistake.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"235",235,"Water",1,"The Avatar Returns",2,"Sokka","[Stubbornly persisting in his anger.] No, I'm keeping my promise to Dad. [Pointing to Aang.] I'm protecting you, from threats like him!","No, I'm keeping my promise to Dad.  I'm protecting you, from threats like him!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"236",236,"Water",1,"The Avatar Returns",2,"Katara","[Angrily.] Aang is not our enemy! [Continues in a calm, soothing voice.] Don't you see? Aang's brought us something we haven't had in a long time: fun.","Aang is not our enemy!  Don't you see? Aang's brought us something we haven't had in a long time: fun.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"237",237,"Water",1,"The Avatar Returns",2,"Sokka","[Annoyed.] Fun?! We can't fight firebenders with fun!","Fun?! We can't fight firebenders with fun!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"238",238,"Water",1,"The Avatar Returns",2,"Aang","[Optimistically.] You should try it sometime.","You should try it sometime.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"239",239,"Water",1,"The Avatar Returns",2,"Sokka","[Angrily.] Get out of our village! Now!","Get out of our village! Now!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"240",240,"Water",1,"The Avatar Returns",2,"Katara","[Pleading.] Grandmother, please. Don't let Sokka do this!","Grandmother, please. Don't let Sokka do this!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"241",241,"Water",1,"The Avatar Returns",2,"Kanna","[Gravely.] Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves.","Katara, you knew going on that ship was forbidden. Sokka is right. I think it best if the airbender leaves.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"242",242,"Water",1,"The Avatar Returns",2,"Katara","[Outraged.] Fine! Then I'm banished, too! [Drags Aang away.] Come on Aang, let's go.","Fine! Then I'm banished, too!  Come on Aang, let's go.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"243",243,"Water",1,"The Avatar Returns",2,"Sokka","[Demanding.] Where do you think you're going?","Where do you think you're going?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"244",244,"Water",1,"The Avatar Returns",2,"Katara","[Angrily.] To find a waterbender. Aang is taking me to the North Pole.","To find a waterbender. Aang is taking me to the North Pole.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"245",245,"Water",1,"The Avatar Returns",2,"Aang","[Confusedly.] I am? [Brightening.] Great!","I am?  Great!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"246",246,"Water",1,"The Avatar Returns",2,"Sokka","Katara! Would you really choose him over your tribe? [Shows shot of the entire Southern Water Tribe.] Your own family?","Katara! Would you really choose him over your tribe?  Your own family?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"247",247,"Water",1,"The Avatar Returns",2,"Scene Description","A side-view-shot shows that Katara had stopped in her tracks, right between Appa and her tribe. Close-up of Katara, who looks down sorrowfully as Aang approaches her with a sad look upon his face.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"248",248,"Water",1,"The Avatar Returns",2,"Aang","[Understanding.] Katara, I don't want to come between you and your family.","Katara, I don't want to come between you and your family.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"249",249,"Water",1,"The Avatar Returns",2,"Katara","[Upset.] So, you're leaving the South Pole? [In a quieter tone.] This is goodbye?","So, you're leaving the South Pole?  This is goodbye?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"250",250,"Water",1,"The Avatar Returns",2,"Aang","Thanks for penguin sledding with me.","Thanks for penguin sledding with me.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"251",251,"Water",1,"The Avatar Returns",2,"Katara","[Still in that quiet tone.] Where will you go?","Where will you go?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"252",252,"Water",1,"The Avatar Returns",2,"Aang","Guess I'll go back home and look for the airbenders. [He places one hand on Appa, but is suddenly struck with realization.] Wow, I haven't cleaned my room in a hundred years. Not looking forward to that. [He uses his airbending to hop onto Appa's head.] It was nice meeting everyone.","Guess I'll go back home and look for the airbenders.  Wow, I haven't cleaned my room in a hundred years. Not looking forward to that.  It was nice meeting everyone.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"253",253,"Water",1,"The Avatar Returns",2,"Sokka","[Sarcastically, with arms crossed.] Let's see your bison fly now, air boy.","Let's see your bison fly now, air boy.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"254",254,"Water",1,"The Avatar Returns",2,"Aang","[Encouragingly.] Come on Appa, you can do it. Yip-yip!","Come on Appa, you can do it. Yip-yip!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"255",255,"Water",1,"The Avatar Returns",2,"Scene Description","Aang flicks the reins, but Appa merely rises and growls.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"256",256,"Water",1,"The Avatar Returns",2,"Sokka","[Mockingly.] Yeah, I thought so!","Yeah, I thought so!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"257",257,"Water",1,"The Avatar Returns",2,"Southern Water Tribe girl","[Runs from crowd to stand next to Katara with tears in her eyes.] Ahhh! [Close-up.] Aang, don't go! I'll miss you!","Ahhh!  Aang, don't go! I'll miss you!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"258",258,"Water",1,"The Avatar Returns",2,"Aang","[Sadly.] I'll miss you, too. [Looks at Katara, who frowns back at him, her eyes saddened while her hair loopies sway in the wind.] Come on, boy.","I'll miss you, too.  Come on, boy.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"259",259,"Water",1,"The Avatar Returns",2,"Scene Description","Appa turns and plods away, disappearing over the hill. The young girl sighs and trudges back to the village, while Katara remains standing in the snow. Kanna walks up to her granddaughter.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"260",260,"Water",1,"The Avatar Returns",2,"Kanna","[Consoling tone.] Katara, you'll feel better after you- [Katara quickly turns around and cuts her off.]","Katara, you'll feel better after you-","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"261",261,"Water",1,"The Avatar Returns",2,"Katara","[Rounding on Kanna and interrupting her, her voice full of empassioned rage.] You happy now? [Gestures in the direction Aang took off.] There goes my one chance at becoming a waterbender!","You happy now?  There goes my one chance at becoming a waterbender!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"262",262,"Water",1,"The Avatar Returns",2,"Scene Description","She marches away furiously, leaving Kanna looking saddened. Meanwhile, Sokka coaches the young boys to prepare for battle just outside the village.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"263",263,"Water",1,"The Avatar Returns",2,"Sokka","All right, ready our defenses! The Fire Nation could be on our shores any moment now!","All right, ready our defenses! The Fire Nation could be on our shores any moment now!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"264",264,"Water",1,"The Avatar Returns",2,"Southern Water Tribe boy","[Stopping and dancing around.] But I gotta ...","But I gotta ...","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"265",265,"Water",1,"The Avatar Returns",2,"Sokka","[Authoritatively, a twinge of annoyance in his voice; he points onward, ushering the boy in that direction.] And no potty breaks!","And no potty breaks!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"266",266,"Water",1,"The Avatar Returns",2,"Scene Description","The scene changes to a snowy landscape dotted by several ice formations. The camera pans to the right, where Aang and Appa are resting in an ice formation, Appa lying lazily on his back in the lower section and Aang resting above him. Appa grunts.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"267",267,"Water",1,"The Avatar Returns",2,"Aang","[Sorrowfully.] Yeah, I liked her too. [Catches sight of Fire Nation ship advancing toward the Southern Water Tribe; gasps.] The village! [He slides off the ice formation onto the ground.] Appa, wait here.","Yeah, I liked her too.  The village!  Appa, wait here.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"268",268,"Water",1,"The Avatar Returns",2,"Scene Description","Appa responds by merely grunting lazily. The scene changes to where Sokka prepares for battle inside a Water Tribe tent. He dons gloves, boots, bindings, and applies face paint. After necessary preparations, he puts his boomerang away on his back.
The scene changes to Zuko's ship, where servants are seen helping the Fire Nation prince to put on his Fire Nation outfit, complete with a red helmet ending in a sharp point. Through all this, Zuko never moves a muscle.
Cut back to Sokka kneeling inside the tent, grabbing his club. He glances at a candle that flickers as he exits.
The scene cuts to an overhead shot of the village, the camera panning upward to the low-stooping wall surrounding the town. Sokka is seen standing atop the wall, overlooking the foggy horizon. Cut back to a shot of the village where a mother is seen squatting beside her child, but she suddenly jerks up upon hearing a loud, cracking noise. Her son gasps for air and the surrounding villagers also turn around in fright to see what the source of the noise was. Kanna, sitting on a log by a camp fire, rises and gasps for air. Suddenly, the ground begins to quake and a rumbling sound is heard in the distance. Kanna gasps louder this time and her face contorts in horror. Switch to a shot of Sokka's feet where bits of the wall are cracking and breaking off. A mother carrying her child slowly backs away in fright. A watchtower on the wall is shaking under the pressure of the trembling, and completely collapses.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"269",269,"Water",1,"The Avatar Returns",2,"Sokka","[Disappointed at the tower's collapse.] Oh man!","Oh man!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"270",270,"Water",1,"The Avatar Returns",2,"Scene Description","Cut to a shot of inside the village where the citizens are beginning to flee from the scene. Katara runs up and looks up at her brother still standing atop the wall, and her look turns to one of horror. Cut to a shot of the wall from her perspective; an enormous shadow of the bow of Zuko's ship comes into view. Camera closes in on Sokka's face.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"271",271,"Water",1,"The Avatar Returns",2,"Sokka","[Horrified.] Oh maaan ...","Oh maaan ...","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"272",272,"Water",1,"The Avatar Returns",2,"Scene Description","A side-view of the ship approaching the village, cutting through the icy sea. Switch to a shot of Kanna standing in the snow, looking up in terror at the vessel while backing up slightly. Villagers pass her in their haste to get to safety and the shadow of the large ships descends over her. Cut to a close-up of the ship's bow as it plows through the snowy shores, splintering the ground. Sokka looks up, terrified by the large ship. The ship's approach creates a large crack that quickly travels toward the village and over the wall. Cut to Katara helping her grandmother into a tent, when she hears a frightened scream. She gasps in terror when she realizes that the sound came from a small boy, kneeling on the ground. The fissure is rapidly approaching him, but Katara quickly runs over and scoops up the child before the ground splinters underneath. She sets the child down again in front of a tent which he quickly enters, and Katara turns back to view her brother.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"273",273,"Water",1,"The Avatar Returns",2,"Katara","[Hysterically.] Sokka, get out of the way!","Sokka, get out of the way!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"274",274,"Water",1,"The Avatar Returns",2,"Scene Description","Cut to a shot of Sokka standing on the wall, the bow of the ship plowing through the snow. Sokka raises his club in defense, ready to strike. Before he can make his move, however, the bow crumbles a large portion of the wall into snowy ruins. The snow slides downward, pushing Sokka several feet back before he lands to a halt. With a loud hiss of steam, the ship has come to a halt as well. Switch to an overview shot of the entire village.
Cut back to the villagers, who now curiously come out of hiding and are staring in complete shock at the large vessel. The camera pans to the right toward Katara, who is looking at the ship with her mouth open; she gasps. Sokka also gasps when he catches sight of the bow of the ship opening and creaking forward in a burst of steam, forming a walkway. He backs up and falls to the ground once the bow hits the ground with a loud thud. The villagers gather closer around for support and several people even cover their eyes. Katara takes a step back upon noticing the shape of three figures cloaked in the mist.
Cut to the top of the walkway, where Prince Zuko emerges from the mist, two guards following close behind him. Cut to the villagers huddled together and Sokka, who kneels in the snow in front of them, ready to defend his tribe. The camera cuts to shot of the top of the walkway and pans downward. Prince Zuko descends from the ship along with the two guards. Sokka lets out a battle cry and charges at the prince with his club to the ready. Switch to a side-view of the walkway, where now even more soldiers trudge down while Sokka is traveling his way upward. When he reaches Zuko, the prince merely kicks the club to his left and, without ever resting his leg on the ground, kicks Sokka over to his right, sending him into the snow, where his head becomes trapped. The warrior desperately tries to free himself as Zuko continues on his way to the village, followed by six more men. Katara covers her mouth in shock upon witnessing her brother's quick defeat.
Shift to a shot of the villagers, as Zuko and his men stand before them. Zuko approaches. He passes to the right when he does not seem to find what he is looking for and stops in front of Katara, who is clutching Kanna.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"275",275,"Water",1,"The Avatar Returns",2,"Zuko","[Angrily.] Where are you hiding him?","Where are you hiding him?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"276",276,"Water",1,"The Avatar Returns",2,"Scene Description","Zuko surveys the crowd of villagers, who fall completely silent. Without warning, he extends his arm out into the crowd and grabs Kanna, holding her by the hood of her parka.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"277",277,"Water",1,"The Avatar Returns",2,"Zuko","[Shaking Kanna; annoyed.] He'd be about this age, master of all elements?","He'd be about this age, master of all elements?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"278",278,"Water",1,"The Avatar Returns",2,"Scene Description","He shoves Kanna forcefully back into the crowd. The elderly woman shudders in fear and embraces Katara, while Katara shoots an angry glare at Zuko. Receiving no response, Zuko swings his arm out and releases an arc of fire that passes just over the heads of the people, causing them to cover their heads and cry out in fear.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"279",279,"Water",1,"The Avatar Returns",2,"Zuko","[Angrily.] I know you're hiding him!","I know you're hiding him!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"280",280,"Water",1,"The Avatar Returns",2,"Scene Description","Cut to a shot of Sokka's club lying in the snow. Sokka runs over and picks it up, most of his war paint having come off at this point. He lets out another battle cry as he charges toward the prince. Cut to a shot of Zuko, his back facing the camera. He swiftly turns around just as Sokka approaches. He ducks under Sokka's wide swing and hurls the warrior forward. Sokka lands on his rear in the snow and is quickly forced to dart from his spot when Zuko fires a blast at him. He spins to the side and tosses his boomerang at the enemy who barely manages to miss getting hit by the weapon. Zuko growls and glares at Sokka in anger at the near hit; he follows the course of the weapon until it vanishes before looking back at Sokka in anger. One of the village boys tosses Sokka a spear.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"281",281,"Water",1,"The Avatar Returns",2,"Village boy","Show no fear!","Show no fear!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"282",282,"Water",1,"The Avatar Returns",2,"Scene Description","Sokka handily catches the weapon and charges at Zuko once more. The camera cuts to a shot from Sokka's perspective as he faces him head-on. Zuko breaks of pieces of the spear with his forearms, pulls the remains of the weapon out of Sokka's hands and pokes him thrice in the head with the blunt end. Sokka falls to the ground as Zuko snaps the spear in two and tosses the pieces to the ground on both of his sides. Cut to shot of Sokka, who rubs his head in pain, before switching back to a head shot of Zuko. A sparkle of light shines briefly in the distance and Sokka's boomerang spins into view, unnoticed by Zuko. The weapon strikes Zuko on the back of his helmet with a loud cling; he is momentarily pushed forward by the unexpected blow. Zuko rearranges his helmet and growls at Sokka. The boomerang has plummeted into the ground in front of Sokka's feet. Enraged, Zuko readies two fire daggers.
Cut to shot of Aang, who is seen rapidly riding on a penguin toward the battle scene. He holds his glider horizontal on the animal and he has a determined look on his face.�His tongue is out of his mouth in pure concentration. Cut to shot of Zuko's backside. The camera closes in on Zuko as Aang takes his feet out from underneath him, tossing Zuko off his feet; speeding past, Aang soars into the air as the prince lands on his face, his legs in the air. He spins around a few times before coming to a halt in front of his men, his helmet landing on his rear as they watch.
Cut to a shot of cheering villagers, as Aang rides speedily toward them, still mounted on the penguin. Cut to shot of the children, who cheer upon his arrival. They are showered in snow as Aang rides past, however, after giving each other silent, unamused looks for a few seconds, they begin cheering once again, shaking the snow off. Switch to a shot of a group of several other villagers, including Kanna, Katara, and Sokka. Aang comes to a halt before them. The penguin crawls out from under him, tossing him off. Aang falls on his rear, blinking stupidly. Aang smiles at the penguin when the animal quacks at him before waddling away.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"283",283,"Water",1,"The Avatar Returns",2,"Aang","[Cheerfully, despite the present situation.] Hey, Katara. Hey, Sokka.","Hey, Katara. Hey, Sokka.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"284",284,"Water",1,"The Avatar Returns",2,"Sokka","[Moodily.] Hi, Aang. Thanks for coming.","Hi, Aang. Thanks for coming.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"285",285,"Water",1,"The Avatar Returns",2,"Scene Description","Aang looks back at the Fire Nation soldiers, where Zuko just got back on his feet again. Upon his signal, his men spread out, surrounding Aang while Zuko assumes a fighting stance. Shift to an overhead shot of Aang assuming a fighting stance as well, his staff held firmly in front of him as he is being surrounded by the soldiers. He sweeps the ground side-to-side with his staff, showering the men with snow. He subsequently slams the ground, sending a rush of snow at Zuko who braces for the impact. After being sprayed with snow, and heating it up so it would melt off, Zuko looks up angrily.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"286",286,"Water",1,"The Avatar Returns",2,"Aang","Looking for me?","Looking for me?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"287",287,"Water",1,"The Avatar Returns",2,"Zuko","[Shocked.] You're the airbender? You're the Avatar?","You're the airbender? You're the Avatar?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"288",288,"Water",1,"The Avatar Returns",2,"Scene Description","Aang resumes his fighting stance. Switch to a close-up of the siblings.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"289",289,"Water",1,"The Avatar Returns",2,"Katara","[Surprised.] Aang?","Aang?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"290",290,"Water",1,"The Avatar Returns",2,"Sokka","[Bewildered.] No way!","No way!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"291",291,"Water",1,"The Avatar Returns",2,"Scene Description","Overview shot of Zuko and Aang moving about in a circular pattern, both awaiting the attack of the other.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"292",292,"Water",1,"The Avatar Returns",2,"Zuko","I've spent years preparing for this encounter. Training, meditating. [Angrily.] You're just a child!","I've spent years preparing for this encounter. Training, meditating.  You're just a child!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"293",293,"Water",1,"The Avatar Returns",2,"Aang","[Calmly, tilting his head to one side with a somewhat confused expression.] Well, you're just a teenager.","Well, you're just a teenager.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"294",294,"Water",1,"The Avatar Returns",2,"Scene Description","Zuko launches a series of fire blasts at Aang in anger at the remark, who defends himself by twirling his staff, dissipating the flames. Cut to overhead shot of the area, Zuko attacking Aang, the villagers watching directly behind him. Zuko fires another blast at Aang, who twirls his staff once again to ward the attack off. Cut to a shot of the villagers, who cower as the flames stream through the air over their heads. Aang widens his eyes in horror at the sight of the frightened villagers and immediately ceases to defend himself.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"295",295,"Water",1,"The Avatar Returns",2,"Aang","If I go with you, [He holds his staff in front of him as an offer, making sure Zuko understands that he does not wish to continue fighting.] will you promise to leave everyone alone?","If I go with you,  will you promise to leave everyone alone?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"296",296,"Water",1,"The Avatar Returns",2,"Scene Description","The camera cuts to a side-view of the area, Zuko's men still surrounding him, spears poised. After a brief moment of hesitation, Zuko erects himself and nods in agreement. Aang is apprehended by Zuko's men, who take his staff. Katara runs forward as they lead Aang away.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"297",297,"Water",1,"The Avatar Returns",2,"Katara","[Sadly.] No! Aang, don't do this!","No! Aang, don't do this!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"298",298,"Water",1,"The Avatar Returns",2,"Aang","[Surprisingly calm.] Don't worry, Katara. It'll be okay. [He gasps when he is shoved on the walkway. Katara's face contorts with sadness and fright.] Take care of Appa for me until I get back.","Don't worry, Katara. It'll be okay.  Take care of Appa for me until I get back.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"299",299,"Water",1,"The Avatar Returns",2,"Zuko","[Boarding the ship up the walkway. Determined.] Head a course for the Fire Nation. I'm going home.","Head a course for the Fire Nation. I'm going home.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"300",300,"Water",1,"The Avatar Returns",2,"Scene Description","Cut to a shot of the villagers looking up at the ship, Aang standing at the top of walkway. Switch to a more up-close shot of him smiling weakly, surrounded by Fire Nation soldiers. Cut to shot of Katara who looks up, tears in her eyes, before changing back to a shot of Aang who now frowns as the bow rises and closes. The screen blacks out as the bow is locked into place with a thud.
The scene changes to later in the day; an overview shot of the village reveals the wreckage the ship, now gone, has left behind. A woman drops a pile of firewood onto the ground next to a camp fire in a rather melancholy manner. Several villagers surround the collapsed wall, surveying the damage and trying to repair the collapsed watch tower by digging it out. Several others work together to help put up a fallen tent. Cut to shot of the Southern shores where Katara is standing on the edge in the distance. The camera closes in on where she is standing.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"301",301,"Water",1,"The Avatar Returns",2,"Katara","[Sokka is seen in the background, carrying a pack as she speaks on a determined tone.] We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him.","We have to go after that ship, Sokka. Aang saved our tribe, now we have to save him.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"302",302,"Water",1,"The Avatar Returns",2,"Sokka","Katara, I --","Katara, I --","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"303",303,"Water",1,"The Avatar Returns",2,"Katara","[Making arm gestures to emphasize her words while she speaks in an objective tone.] Why can't you realize that he's on our side? [Cuts to shot of her and her brother, her back to the screen.] If we don't help him, no one will. I know you don't like Aang, but we owe him and --","Why can't you realize that he's on our side?  If we don't help him, no one will. I know you don't like Aang, but we owe him and --","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"304",304,"Water",1,"The Avatar Returns",2,"Sokka","[Cutting her off.] Katara! [Slightly annoyed.] Are you gonna talk all day, or are you comin' with me?","Katara!  Are you gonna talk all day, or are you comin' with me?","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"305",305,"Water",1,"The Avatar Returns",2,"Scene Description","Sokka gestures to a canoe floating in the water. Katara immediately grins and gasps in happiness.",NA,"Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"306",306,"Water",1,"The Avatar Returns",2,"Katara","[Running over to her brother.] Sokka! [She gives him a hug.]","Sokka!","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
"307",307,"Water",1,"The Avatar Returns",2,"Sokka","[Inviting.] Get in, we're going to save your boyfriend.","Get in, we're going to save your boyfriend.","Michael Dante DiMartino, Bryan Konietzko, Aaron Ehasz, Peter Goldfinger, Josh Stolberg","Dave Filoni",8.3
